Document_ID,Document_Length
575,57
23,44
782,34
42,44
53,32
418,36
539,38
140,28
47,45
342,44
280,33
423,59
742,39
496,68
3,46
821,32
537,26
372,36
796,39
530,43
775,42
161,40
290,34
778,53
483,30
131,35
663,33
748,49
499,38
964,33
346,56
766,44
765,37
948,39
215,26
130,33
719,31
466,35
491,31
471,39
674,39
335,38
940,38
906,38
557,47
352,26
638,55
467,39
973,40
386,24
588,55
84,47
145,30
91,53
787,39
431,22
941,50
378,51
528,33
764,33
885,38
254,37
583,42
75,47
700,30
450,54
35,36
886,43
770,50
283,42
890,47
201,49
517,39
699,39
74,36
763,38
591,42
152,50
887,36
615,55
36,38
546,39
698,34
430,37
620,35
516,46
331,61
73,44
492,52
662,42
888,40
449,34
429,46
202,42
37,35
696,34
697,42
224,40
379,49
939,30
6,41
391,42
72,44
258,45
214,36
148,37
155,41
627,31
348,39
762,38
924,33
48,43
551,38
771,33
438,53
293,36
388,33
772,30
146,45
250,64
773,46
350,57
628,36
573,50
761,46
266,39
490,24
673,37
607,36
918,42
916,34
314,43
572,37
994,41
144,32
563,47
574,39
351,42
407,61
294,38
489,31
776,39
760,58
385,48
157,53
629,29
300,30
624,37
777,29
488,34
571,45
143,51
915,34
49,41
326,38
295,43
925,34
158,35
540,34
347,35
576,43
487,38
249,27
779,32
267,51
564,39
570,29
604,37
550,39
309,33
988,36
151,41
757,38
780,39
142,52
630,49
987,40
264,41
217,42
569,33
54,52
568,44
587,49
781,38
679,35
218,46
315,49
914,46
353,36
756,31
436,42
296,47
522,47
998,56
618,30
139,38
297,39
497,47
248,36
521,51
993,46
52,43
755,40
299,35
631,44
160,61
917,38
567,28
247,30
55,43
754,49
784,35
486,33
411,45
680,38
577,43
785,49
677,40
439,38
298,28
565,56
304,29
354,33
786,36
566,38
485,53
913,42
137,55
753,36
632,39
752,49
292,30
788,33
246,40
413,27
414,40
484,23
252,53
7,37
404,43
789,43
8,39
136,30
986,30
751,56
991,37
355,41
790,41
440,30
625,37
302,35
349,46
163,36
135,49
56,38
985,44
9,33
791,49
545,33
912,47
767,55
602,42
164,49
792,31
634,54
561,38
984,55
793,46
133,28
307,37
244,51
132,36
608,48
356,43
482,51
538,39
681,34
795,34
149,36
552,29
10,49
911,52
403,35
415,52
749,51
46,30
990,34
288,30
927,27
671,41
243,39
635,45
923,36
797,60
983,35
219,35
129,37
601,29
384,33
4,32
357,24
166,40
212,48
481,35
405,47
542,34
287,32
798,41
128,41
312,42
636,43
441,42
480,31
500,32
313,34
800,47
682,35
58,41
982,59
609,45
928,39
242,49
801,37
981,33
617,47
746,37
45,42
126,50
670,38
251,41
803,43
12,49
606,29
910,50
344,49
479,32
745,49
683,39
637,37
980,51
279,32
804,30
125,36
585,51
919,48
435,46
805,42
543,47
478,43
523,44
256,32
359,32
979,52
806,42
402,43
743,45
501,36
270,31
807,38
170,40
401,38
909,38
211,51
360,31
502,25
978,35
600,38
442,31
525,35
929,46
123,38
808,36
416,47
809,37
13,50
282,32
741,34
908,50
997,42
241,39
810,30
599,37
343,35
417,41
122,33
476,49
740,54
361,41
14,41
977,38
669,49
812,34
503,51
51,30
684,25
536,40
44,41
121,29
610,41
61,37
813,38
383,36
739,42
172,39
173,31
676,32
120,28
434,32
814,38
325,49
119,31
475,31
362,31
640,37
975,33
738,37
907,47
815,38
240,33
174,30
1,30
474,32
210,58
328,43
737,31
286,35
118,39
686,50
473,45
62,36
626,28
317,27
560,29
817,44
504,32
400,38
305,41
271,35
327,40
443,34
544,43
736,55
363,37
641,35
15,46
117,39
579,32
819,44
931,41
598,53
820,34
554,55
176,36
389,33
735,55
995,27
364,44
115,33
668,41
209,44
419,37
972,38
642,32
318,48
822,27
494,47
520,33
549,34
905,40
823,32
177,41
16,60
340,33
971,32
734,41
114,40
733,64
505,56
824,45
113,35
365,37
534,49
470,56
825,34
178,35
17,41
262,45
970,29
687,33
643,37
732,38
420,40
562,31
826,36
111,52
433,27
969,46
179,37
366,30
623,55
827,34
932,48
329,35
903,30
992,28
597,35
828,50
238,39
678,36
506,32
110,26
278,40
731,52
644,45
580,50
829,29
548,24
180,36
237,27
688,51
367,50
730,31
902,35
421,35
831,29
109,61
920,36
108,29
729,39
469,38
339,39
390,42
398,37
153,39
832,29
833,49
181,28
19,33
182,39
966,28
645,42
468,30
408,40
728,29
834,32
445,31
558,39
261,42
338,34
409,52
922,52
900,45
208,47
422,36
835,42
21,29
437,29
387,47
965,42
272,36
183,31
836,30
689,40
65,44
381,43
646,29
105,39
933,32
837,35
616,39
184,39
533,35
839,40
508,56
104,44
493,43
589,49
899,33
963,41
103,35
22,35
102,35
962,43
185,28
465,29
596,32
397,37
841,29
66,34
648,34
724,33
464,28
842,54
