query,title,description,combined_score,bm25_score,semantic_score
insidious 2 netflix,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring. Peter Jackson Elijah Wood Viggo Mortensen Ian McKellen Orlando Bloom U 2003,1.0,0.0,0.0
insidious 2 netflix,Talvar,Talvar An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide. Meghna Gulzar Irrfan Khan Konkona Sen Sharma Neeraj Kabi Sohum Shah UA 2015,1.0,0.0,0.0
insidious 2 netflix,What Ever Happened to Baby Jane?,What Ever Happened to Baby Jane? A former child star torments her paraplegic sister in their decaying Hollywood mansion. Robert Aldrich Bette Davis Joan Crawford Victor Buono Wesley Addy Passed 1962,1.0,0.0,0.0
insidious 2 netflix,"""Three Billboards Outside Ebbing",,1.0,0.0,0.0
insidious 2 netflix,Darbareye Elly,Darbareye Elly The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers. Asghar Farhadi Golshifteh Farahani Shahab Hosseini Taraneh Alidoosti Merila Zare'i TV-PG 2009,1.0,0.0,0.0
insidious 2 netflix,Trois couleurs: Blanc,"Trois couleurs: Blanc After his wife divorces him, a Polish immigrant plots to get even with her. Krzysztof Kieslowski Zbigniew Zamachowski Julie Delpy Janusz Gajos Jerzy Stuhr U 1994",1.0,0.0,0.0
insidious 2 netflix,Tropa de Elite 2: O Inimigo Agora é Outro,"Tropa de Elite 2: O Inimigo Agora é Outro After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups. José Padilha Wagner Moura Irandhir Santos André Ramiro Milhem Cortaz nan 2010",1.0,0.0,0.0
insidious 2 netflix,The Magdalene Sisters,The Magdalene Sisters Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum. Peter Mullan Eileen Walsh Dorothy Duffy Nora-Jane Noone Anne-Marie Duff R 2002,1.0,0.0,0.0
insidious 2 netflix,The Last Picture Show,"The Last Picture Show In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically. Peter Bogdanovich Timothy Bottoms Jeff Bridges Cybill Shepherd Ben Johnson R 1971",1.0,0.0,0.0
insidious 2 netflix,Manhattan,Manhattan The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress. Woody Allen Woody Allen Diane Keaton Mariel Hemingway Michael Murphy R 1979,1.0,0.0,0.0
fast in the furious,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring. Peter Jackson Elijah Wood Viggo Mortensen Ian McKellen Orlando Bloom U 2003,1.0,0.0,0.0
fast in the furious,Talvar,Talvar An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide. Meghna Gulzar Irrfan Khan Konkona Sen Sharma Neeraj Kabi Sohum Shah UA 2015,1.0,0.0,0.0
fast in the furious,What Ever Happened to Baby Jane?,What Ever Happened to Baby Jane? A former child star torments her paraplegic sister in their decaying Hollywood mansion. Robert Aldrich Bette Davis Joan Crawford Victor Buono Wesley Addy Passed 1962,1.0,0.0,0.0
fast in the furious,"""Three Billboards Outside Ebbing",,1.0,0.0,0.0
fast in the furious,Darbareye Elly,Darbareye Elly The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers. Asghar Farhadi Golshifteh Farahani Shahab Hosseini Taraneh Alidoosti Merila Zare'i TV-PG 2009,1.0,0.0,0.0
fast in the furious,Trois couleurs: Blanc,"Trois couleurs: Blanc After his wife divorces him, a Polish immigrant plots to get even with her. Krzysztof Kieslowski Zbigniew Zamachowski Julie Delpy Janusz Gajos Jerzy Stuhr U 1994",1.0,0.0,0.0
fast in the furious,Tropa de Elite 2: O Inimigo Agora é Outro,"Tropa de Elite 2: O Inimigo Agora é Outro After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups. José Padilha Wagner Moura Irandhir Santos André Ramiro Milhem Cortaz nan 2010",1.0,0.0,0.0
fast in the furious,The Magdalene Sisters,The Magdalene Sisters Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum. Peter Mullan Eileen Walsh Dorothy Duffy Nora-Jane Noone Anne-Marie Duff R 2002,1.0,0.0,0.0
fast in the furious,The Last Picture Show,"The Last Picture Show In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically. Peter Bogdanovich Timothy Bottoms Jeff Bridges Cybill Shepherd Ben Johnson R 1971",1.0,0.0,0.0
fast in the furious,Manhattan,Manhattan The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress. Woody Allen Woody Allen Diane Keaton Mariel Hemingway Michael Murphy R 1979,1.0,0.0,0.0
ewan mcgregor big fish,Yeopgijeogin geunyeo,"Yeopgijeogin geunyeo A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train. Jae-young Kwak Tae-Hyun Cha Jun Ji-Hyun In-mun Kim Song Wok-suk nan 2001",0.6,18.58259388648419,0.0
ewan mcgregor big fish,Big Fish,Big Fish A frustrated son tries to determine the fact from fiction in his dying father's life. Tim Burton Ewan McGregor Albert Finney Billy Crudup Jessica Lange U 2003,0.4,0.0,0.3825361881372366
ewan mcgregor big fish,Rockstar,"Rockstar Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer. Imtiaz Ali Ranbir Kapoor Nargis Fakhri Shammi Kapoor Kumud Mishra UA 2011",0.3141014894721762,0.0,0.3003879661772866
ewan mcgregor big fish,The Broken Circle Breakdown,"The Broken Circle Breakdown Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial. Felix van Groeningen Veerle Baetens Johan Heldenbergh Nell Cattrysse Geert Van Rampelberg nan 2012",0.31055258208206865,0.0,0.29699400241462703
ewan mcgregor big fish,Magnolia,"Magnolia An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley. Paul Thomas Anderson Tom Cruise Jason Robards Julianne Moore Philip Seymour Hoffman R 1999",0.3025360255328962,0.0,0.2893274449538595
ewan mcgregor big fish,The Boondock Saints,The Boondock Saints Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God. Troy Duffy Willem Dafoe Sean Patrick Flanery Norman Reedus David Della Rocco R 1999,0.3019975215802435,0.0,0.288812451830498
ewan mcgregor big fish,Apocalypse Now,Apocalypse Now A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god. Francis Ford Coppola Martin Sheen Marlon Brando Robert Duvall Frederic Forrest R 1979,0.2927879779927533,0.0,0.28000499258439243
ewan mcgregor big fish,The Insider,The Insider A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco. Michael Mann Russell Crowe Al Pacino Christopher Plummer Diane Venora UA 1999,0.28020394964366696,0.0,0.2679703769942164
ewan mcgregor big fish,Children of Men,"Children of Men In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea. Alfonso Cuarón Julianne Moore Clive Owen Chiwetel Ejiofor Michael Caine A 2006",0.2797970092851438,8.665590323664455,0.0
ewan mcgregor big fish,Little Women,"Little Women Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms. Greta Gerwig Saoirse Ronan Emma Watson Florence Pugh Eliza Scanlen U 2019",0.27287641961171033,0.0,0.26096276347700187
james franco spring breakers,Wind River,Wind River A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation. Taylor Sheridan Kelsey Asbille Jeremy Renner Julia Jones Teo Briones R 2017,0.6,6.74395654137303,0.0
james franco spring breakers,Mou gaan dou,"Mou gaan dou A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop. Andrew Lau Alan Mak Andy Lau Tony Chiu-Wai Leung Anthony Chau-Sang Wong UA 2002",0.4195418411440743,4.715619906605441,0.0
james franco spring breakers,The Terminator,"The Terminator A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation. James Cameron Arnold Schwarzenegger Linda Hamilton Michael Biehn Paul Winfield UA 1984",0.4,0.0,0.55774521182867
james franco spring breakers,Kaguyahime no monogatari,"Kaguyahime no monogatari Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime. Isao Takahata Chloë Grace Moretz James Caan Mary Steenburgen James Marsden U 2013",0.39234242705580413,0.0,0.5470677752190349
james franco spring breakers,Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades. Terry Gilliam Johnny Depp Benicio Del Toro Tobey Maguire Michael Lee Gogin R 1998,0.38308611525581804,4.3058601881477605,0.0
james franco spring breakers,Aliens,"Aliens Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators. James Cameron Sigourney Weaver Michael Biehn Carrie Henn Paul Reiser U 1986",0.3746810413768087,0.0,0.522441391977237
james franco spring breakers,X: First Class,"X: First Class In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them. Matthew Vaughn James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon UA 2011",0.3678776332942481,0.0,0.5129549712718254
james franco spring breakers,Misery,"Misery After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse. Rob Reiner James Caan Kathy Bates Richard Farnsworth Frances Sternhagen R 1990",0.361382935729965,0.0,0.5038990050999399
james franco spring breakers,The Theory of Everything,The Theory of Everything A look at the relationship between the famous physicist Stephen Hawking and his wife. James Marsh Eddie Redmayne Felicity Jones Tom Prior Sophie Perry U 2014,0.35940032477773604,0.0,0.5011345256861279
james franco spring breakers,V for Vendetta,"V for Vendetta In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman. James McTeigue Hugo Weaving Natalie Portman Rupert Graves Stephen Rea A 2005",0.3491256909466515,0.0,0.48680795612967726
i am love,Lilja 4-ever,"Lilja 4-ever Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life. Lukas Moodysson Oksana Akinshina Artyom Bogucharskiy Pavel Ponomaryov Lyubov Agapova R 2002",0.8169038939439001,3.684080135472691,0.6284520884979423
i am love,Blazing Saddles,"Blazing Saddles In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary. Mel Brooks Cleavon Little Gene Wilder Slim Pickens Harvey Korman A 1974",0.6,5.040194223881746,0.0
i am love,Pride & Prejudice,"Pride & Prejudice Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice? Joe Wright Keira Knightley Matthew Macfadyen Brenda Blethyn Donald Sutherland PG 2005",0.6,5.040194223881746,0.0
i am love,The Straight Story,The Straight Story An old man makes a long journey by lawnmower to mend his relationship with an ill brother. David Lynch Richard Farnsworth Sissy Spacek Jane Galloway Heitz Joseph A. Carpenter U 1999,0.5182431834380721,4.3534104995510985,0.0
