index,movie_name,document
0,The Shawshank Redemption,"The Shawshank Redemption Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency. Frank Darabont Tim Robbins Morgan Freeman Bob Gunton William Sadler A 1994"
1,The Godfather,The Godfather An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son. Francis Ford Coppola Marlon Brando Al Pacino James Caan Diane Keaton A 1972
2,The Dark Knight,"The Dark Knight When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice. Christopher Nolan Christian Bale Heath Ledger Aaron Eckhart Michael Caine UA 2008"
3,The Godfather: Part II,"The Godfather: Part II The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate. Francis Ford Coppola Al Pacino Robert De Niro Robert Duvall Diane Keaton A 1974"
4,12 Angry Men,12 Angry Men A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence. Sidney Lumet Henry Fonda Lee J. Cobb Martin Balsam John Fiedler U 1957
5,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring. Peter Jackson Elijah Wood Viggo Mortensen Ian McKellen Orlando Bloom U 2003
6,Pulp Fiction,"Pulp Fiction The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption. Quentin Tarantino John Travolta Uma Thurman Samuel L. Jackson Bruce Willis A 1994"
7,Schindler's List,"Schindler's List In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis. Steven Spielberg Liam Neeson Ralph Fiennes Ben Kingsley Caroline Goodall A 1993"
8,Inception,Inception A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O. Christopher Nolan Leonardo DiCaprio Joseph Gordon-Levitt Elliot Page Ken Watanabe UA 2010
9,Fight Club,"Fight Club An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more. David Fincher Brad Pitt Edward Norton Meat Loaf Zach Grenier A 1999"
10,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron. Peter Jackson Elijah Wood Ian McKellen Orlando Bloom Sean Bean U 2001
11,Forrest Gump,"Forrest Gump The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart. Robert Zemeckis Tom Hanks Robin Wright Gary Sinise Sally Field UA 1994"
